GC_NAME;Schizo Campaign;x;;;;;;;;;;;;
GC_DESC;You forgot your pills again! You just woke up in a strange world where Hyperborean Byzantium is real and the Mongol empire did a large amount of trolling, Poland is very epic and the Italians colonized the Americas.;x;;;;;;;;;;;;
post_napoleonic_thought;Post-Revolutionary Thought;x;;;;;;;;;;;;
post_napoleonic_army_doctrine;Post-Revolutionary Army Doctrine;x;;;;;;;;;;;;
mongolian_dependency;Mongolian Tribute State;x;;;;;;;;;;;;
mongolian_dependency_ruler;Prince;x;;;;;;;;;;;;
mongolian_tech_school;Jochid School of Thought;x;;;;;;;;;;;;
no_personality;No bonus;;;;;;;;;;;;;
active_p;No bonus;;;;;;;;;;;;;
au_fait;§G+3 Attack;;;;;;;;;;;;;
audacious;§G+2 Attack §G+2 Defense;;;;;;;;;;;;;
able;No bonus;;;;;;;;;;;;;
aweless;No bonus;;;;;;;;;;;;;
aggressive;§G+1 Attack;;;;;;;;;;;;;
arrogant;No bonus;;;;;;;;;;;;;
balanced_p;§G+1 Defense;;;;;;;;;;;;;
bigoted;No bonus;;;;;;;;;;;;;
brilliant;No bonus;;;;;;;;;;;;;
brutish;§G+1 Attack;;;;;;;;;;;;;
bold;§G+1 Attack;;;;;;;;;;;;;
brash;§G+ Attack;;;;;;;;;;;;;
ballsy;No bonus;;;;;;;;;;;;;
bastard;§R-1 Defense;;;;;;;;;;;;;
cautious;§G+3 Defense;;;;;;;;;;;;;
coward;No bonus;;;;;;;;;;;;;
chickenhearted;§R-2 Attack;;;;;;;;;;;;;
craven;No bonus;;;;;;;;;;;;;
competent;No bonus;;;;;;;;;;;;;
clever;No bonus;;;;;;;;;;;;;
careless;No bonus;;;;;;;;;;;;;
calm;§R-1 Attack;;;;;;;;;;;;;
coolminded;§G+2 Defense;;;;;;;;;;;;;
careful;No bonus;;;;;;;;;;;;;
choleric;§G+1 Attack;;;;;;;;;;;;;
charismatic;No bonus;;;;;;;;;;;;;
chivalrous;§G+2 Attack;;;;;;;;;;;;;
confident;No bonus;;;;;;;;;;;;;
doughty;No bonus;;;;;;;;;;;;;
defiant;§G+3 Defense;;;;;;;;;;;;;
disciplined;§G+2 Attack;;;;;;;;;;;;;
dauntless;No bonus;;;;;;;;;;;;;
daring;§G+3 Attack;;;;;;;;;;;;;
disorderly;No bonus;;;;;;;;;;;;;
decisive;No bonus;;;;;;;;;;;;;
dumb;No bonus;;;;;;;;;;;;;
diplomatic;No bonus;;;;;;;;;;;;;
deeply_religious;§R-1 Attack §R-1 Defense;;;;;;;;;;;;;
expert;No bonus;;;;;;;;;;;;;
efficient;§G+2 Attack;;;;;;;;;;;;;
earnest;No bonus;;;;;;;;;;;;;
fanatic;No bonus;;;;;;;;;;;;;
gallant;No bonus;;;;;;;;;;;;;
glory_hound;No bonus;;;;;;;;;;;;;
gutsy;§G+1 Defense;;;;;;;;;;;;;
harsh;§G+1 Attack §G+1 Defense;;;;;;;;;;;;;
hellbent;No bonus;;;;;;;;;;;;;
heroic;No bonus;;;;;;;;;;;;;
inspiring;No bonus;;;;;;;;;;;;;
impetuous;§R-2 Defense;;;;;;;;;;;;;
implacable;§G+3 Attack §G+3 Defense;;;;;;;;;;;;;
imperious;§G+1 Attack §R-2 Defense;;;;;;;;;;;;;
irate;§G+1 Attack;;;;;;;;;;;;;
intuitive;No bonus;;;;;;;;;;;;;
impulsive;No bonus;;;;;;;;;;;;;
incapable;No bonus;;;;;;;;;;;;;
indifferent;No bonus;;;;;;;;;;;;;
intelligent;No bonus;;;;;;;;;;;;;
inept;§R-1 Attack;;;;;;;;;;;;;
inefficient;§R-2 Attack;;;;;;;;;;;;;
keen;No bonus;;;;;;;;;;;;;
lilylivered;§R-2 Attack;;;;;;;;;;;;;
lackluster;No bonus;;;;;;;;;;;;;
merciless;§G+2 Attack §G+2 Defense;;;;;;;;;;;;;
meticulous;No bonus;;;;;;;;;;;;;
manful;No bonus;;;;;;;;;;;;;
madman;No bonus;;;;;;;;;;;;;
mediocre;No bonus;;;;;;;;;;;;;
maladroit;No bonus;;;;;;;;;;;;;
openminded;No bonus;;;;;;;;;;;;;
persistant;No bonus;;;;;;;;;;;;;
polite;No bonus;;;;;;;;;;;;;
pusillanimous;No bonus;;;;;;;;;;;;;
pisspoor;§R-2 Attack;;;;;;;;;;;;;
perverse;No bonus;;;;;;;;;;;;;
resourceful;§R-1 Defense;;;;;;;;;;;;;
respectful;No bonus;;;;;;;;;;;;;
romantic;No bonus;;;;;;;;;;;;;
relentless;§G+2 Attack;;;;;;;;;;;;;
reserved;§R-1 Attack;;;;;;;;;;;;;
resolute;§G+2 Defense;;;;;;;;;;;;;
skilled;§G+1 Attack;;;;;;;;;;;;;
shrinking_violet;No bonus;;;;;;;;;;;;;
strange;No bonus;;;;;;;;;;;;;
stout;§G+1 Defense;;;;;;;;;;;;;
soldierly;§G+1 Attack;;;;;;;;;;;;;
spirited;§G+2 Defense;;;;;;;;;;;;;
stalwart;§G+1 Attack §G+1 Defense;;;;;;;;;;;;;
soft;§R-2 Attack;;;;;;;;;;;;;
spineless;§R-2 Attack;;;;;;;;;;;;;
stouthearted;§G+1 Attack;;;;;;;;;;;;;
steadfast;§G+2 Attack;;;;;;;;;;;;;
scared;§R-1 Defense;;;;;;;;;;;;;
shirker;§R-1 Defense;;;;;;;;;;;;;
smart_p;No bonus;;;;;;;;;;;;;
sharp;No bonus;;;;;;;;;;;;;
timid;§R-1 Attack;;;;;;;;;;;;;
tactful;No bonus;;;;;;;;;;;;;
unflinching;§G+3 Attack;;;;;;;;;;;;;
unruly;No bonus;;;;;;;;;;;;;
undisciplined;No bonus;;;;;;;;;;;;;
unforgiving;No bonus;;;;;;;;;;;;;
unmanly;§R-3 Attack;;;;;;;;;;;;;
unsound;No bonus;;;;;;;;;;;;;
vainglorious;No bonus;;;;;;;;;;;;;
vicious;§G+2 Attack;;;;;;;;;;;;;
wrathful;§G+2 Attack;;;;;;;;;;;;;
wretched;§R-1 Attack;;;;;;;;;;;;;
yellow;§R-4 Attack;;;;;;;;;;;;;
no_background;§R-2 Attack §R-2 Defense;;;;;;;;;;;;;
ambitious_careerist;No bonus;;;;;;;;;;;;;
architect;No bonus;;;;;;;;;;;;;
armchair_general;No bonus;;;;;;;;;;;;;
artillerist;§R-1 Defense;;;;;;;;;;;;;
amateur;§R-1 Defense;;;;;;;;;;;;;
aristocrat;No bonus;;;;;;;;;;;;;
adventurer;§G+2 Attack;;;;;;;;;;;;;
butcher;No bonus;;;;;;;;;;;;;
bureaucrat_speed;No bonus;;;;;;;;;;;;;
brownnoser;§G+1 Attack;;;;;;;;;;;;;
brilliant_strategist;No bonus;;;;;;;;;;;;;
bootlicker;§G+1 Defense;;;;;;;;;;;;;
cavalry_school;§G+2 Attack;;;;;;;;;;;;;
colonial_1;§R-2 Defense;;;;;;;;;;;;;
cartographer;No bonus;;;;;;;;;;;;;
cursed_luck;§G+2 Attack §G+2 Defense;;;;;;;;;;;;;
corrupt;No bonus;;;;;;;;;;;;;
clueless;§R-1 Attack;;;;;;;;;;;;;
debutante;No bonus;;;;;;;;;;;;;
disgraced;No bonus;;;;;;;;;;;;;
drillmaster;No bonus;;;;;;;;;;;;;
diplomat;No bonus;;;;;;;;;;;;;
engineer_1;No bonus;;;;;;;;;;;;;
exranker;No bonus;;;;;;;;;;;;;
expert_raider;§G+2 Attack;;;;;;;;;;;;;
eccentric_genius;§G+2 Attack;;;;;;;;;;;;;
elderly;No bonus;;;;;;;;;;;;;
gifted_administrator;No bonus;;;;;;;;;;;;;
generals_aide;§G+1 Defense;;;;;;;;;;;;;
hated;§G+1 Attack §G+1 Defense;;;;;;;;;;;;;
innovative_tactician;§G+1 Attack;;;;;;;;;;;;;
immoral;No bonus;;;;;;;;;;;;;
incompetent;No bonus;;;;;;;;;;;;;
megalomaniac;§R-2 Attack;;;;;;;;;;;;;
natural_born_leader;§G+1 Attack;;;;;;;;;;;;;
nationalist;§G+1 Attack;;;;;;;;;;;;;
old_school;§G+1 Attack §R-2 Defense;;;;;;;;;;;;;
poet;§R-1 Attack;;;;;;;;;;;;;
priest;No bonus;;;;;;;;;;;;;
professor;§R-1 Attack §R-1 Defense;;;;;;;;;;;;;
powerful_friends;No bonus;;;;;;;;;;;;;
pawn;No bonus;;;;;;;;;;;;;
politician;No bonus;;;;;;;;;;;;;
rising_star;No bonus;;;;;;;;;;;;;
spoiled;§G+2 Attack;;;;;;;;;;;;;
school_of_defense;§G+3 Defense;;;;;;;;;;;;;
school_of_offense;§G+1 Attack;;;;;;;;;;;;;
school_of_the_bayonet;§G+2 Attack §G+1 Defense;;;;;;;;;;;;;
school_of_firepower;§G+1 Attack;;;;;;;;;;;;;
sad_sack;§R-2 Attack;;;;;;;;;;;;;
sucker;§R-1 Attack;;;;;;;;;;;;;
sycophant;No bonus;;;;;;;;;;;;;
toady;§G+1 Attack;;;;;;;;;;;;;
turncoat;No bonus;;;;;;;;;;;;;
uncommonly_young;§G+1 Attack §G+1 Defense;;;;;;;;;;;;;
unfit;§R-2 Attack;;;;;;;;;;;;;
unqualified;No bonus;;;;;;;;;;;;;
warmonger;No bonus;;;;;;;;;;;;;
war_college;§G+1 Attack;;;;;;;;;;;;;
spartan;§G+2 Attack §G+2 Defense;;;;;;;;;;;;;
highlander;§G+2 Attack;;;;;;;;;;;;;
yesman;No Bonus;;;;;;;;;;;;;
roman_syracuse_flag;Crush the Syracusean Despotate;x;;;;;;;;;;;;
cisalpine_gaul_flag;Restore Order in Cisalpine Gaul;x;;;;;;;;;;;;
generic_conservative;Generic Conservative;;;;;;;;;;;;;x
generic_reactionary;Generic Reactionary;;;;;;;;;;;;;x
generic_liberal;Generic Liberal;;;;;;;;;;;;;x
generic_socialist;Generic Socialist;;;;;;;;;;;;;x
generic_communist;Generic Communist;;;;;;;;;;;;;x
generic_fascist;Generic Fascist;;;;;;;;;;;;;x
tax_policy;Taxation Policy;x
very_low_taxes;Very low Taxes;x
low_taxes;Low Taxes;x
medium_taxes;Medium Taxes;x
high_taxes;High Taxes;x
very_high_taxes;Very High Taxes;x
regular_clothes_factory_2;Basic Cotton Clothes Factory;x
regular_clothes_factory_2_desc;During the industrial revolution, fabric production was mechanized with machines powered by waterwheels and steam-engines. Production shifted from small cottage based production to mass production based on assembly line organization, with the sewing machine revolutionized clothes productions. The original machine was made of wood and uses a barbed needle which passes downward through the cloth to grab the thread and pull it up to form a loop to be locked by the next loop;x
regular_clothes_factory_3;Basic Wool Clothes Factory;x
regular_clothes_factory_3_desc;During the industrial revolution, fabric production was mechanized with machines powered by waterwheels and steam-engines. Production shifted from small cottage based production to mass production based on assembly line organization, with the sewing machine revolutionized clothes productions. The original machine was made of wood and uses a barbed needle which passes downward through the cloth to grab the thread and pull it up to form a loop to be locked by the next loop;x